Country,FAOPos,FAOCODE,2012,2013,2014,2015,2016,2017
Algeria,3,DZA,8.9,5.7,5.7,4.8,6.4,8.9
Angola,5,AGO,15.7,12.1,12.1,13.3,15,15.7
Argentina,7,ARG,3.1,2.5,2.5,2.6,2.6,3.1
Australia,9,AUS,0.8,2.3,2.3,0.8,0.8,0.8
Austria,10,AUT,2.5,3,3,2.8,2.8,2.5
Azerbaijan,11,AZE,2.1,2.4,2.4,1.4,1.4,2.1
Bahrain,13,BHR,5.1,5.1,5.1,5.1,5.1,5.1
Bangladesh,14,BGD,5.6,5.2,5.2,5.6,5.6,5.6
Belarus,16,BLR,2.1,2.3,2.3,2.2,2.2,2.1
Belgium,17,BEL,2,4.1,4.1,2.1,2.1,2
Benin,20,BEN,11.5,12,12,11.7,11.7,11.5
Bolivia,19,BOL,2.5,2.8,2.8,2.8,2.8,2.5
Botswana,25,BWA,4.7,3.9,3.9,4,4,4.7
Brazil,26,BRA,7.5,2.1,2.1,14.7,7.3,7.5
Bulgaria,29,BGR,12.4,6.9,6.9,9.2,9.2,12.4
Burkina Faso,30,BFA,7.5,6,6,4.7,5.3,7.5
Burundi,31,BDI,11,4.4,4.4,4.4,4.4,11
Cambodia,32,KHM,10.8,6.5,6.5,10.7,10.7,10.8
Cameroon,33,CMR,16.2,11.8,11.8,15.1,15.1,16.2
Canada,34,CAN,2.8,2.6,2.6,2.8,2.8,2.8
Chad,38,TCD,8.8,8.6,8.6,7.4,8.6,8.8
Chile,39,CHL,4.4,4.2,4.2,3.8,3.8,4.4
China,40,CHN,4.5,4.9,4.9,4.9,4.4,4.5
Colombia,41,COL,2.7,2.4,2.4,2.2,2.6,2.7
Congo (Dem. Rep.),53,COD,10.2,8.8,8.8,9.1,9.1,10.2
Costa Rica,45,CRI,10.7,4.1,4.1,9.4,9.4,10.7
Cote d’Ivoire,51,CIV,8.9,7.5,7.5,7.7,8.5,8.9
Czech Republic,49,CZE,1.5,1.1,1.1,1.4,1.4,1.5
Denmark,54,DNK,3,3.1,3.1,2.9,2.9,3
Dominican Republic,57,DOM,4,3.5,3.5,3.8,3.8,4
Ecuador,58,ECU,3.9,3.6,3.6,3.5,3.5,3.9
Egypt,59,EGY,6.6,6.3,6.3,6.7,6.7,6.6
El Salvador,60,SLV,2.3,2.8,2.8,2.3,2.3,2.3
Ethiopia,64,ETH,5.3,5.2,5.2,5.2,5.1,5.3
Finland,68,FIN,0.4,0.4,0.4,0.4,0.4,0.4
France,69,FRA,2.3,2.4,2.4,2.2,2.2,2.3
Germany,75,DEU,2.5,2.4,2.4,2.2,2.2,2.5
Ghana,76,GHA,19.3,18.9,18.9,19.2,19.2,19.3
Greece,77,GRC,4.9,4.6,4.6,4.6,4.6,4.9
Guatemala,81,GTM,4.2,4.5,4.5,4.3,4.2,4.2
Guinea,82,GIN,12.8,11.7,11.7,11.6,11.6,12.8
Haiti,85,HTI,11.2,10.6,10.6,9.8,24.5,11.2
Honduras,86,HND,3.7,3.3,3.3,3.3,3.3,3.7
Hungary,87,HUN,2.7,1.9,1.9,2.7,2.7,2.7
India,89,IND,5.1,4.4,4.4,4.8,5.1,5.1
Indonesia,90,IDN,5.8,6.3,6.3,6,5.8,5.8
Ireland,93,IRL,2.4,2,2,2.2,2.2,2.4
Israel,94,ISR,2,2.5,2.5,2,2,2
Italy,95,ITA,2,2.7,2.7,2.3,2.3,2
Japan,97,JPN,2.6,2.5,2.5,2.5,2.5,2.6
Jordan,98,JOR,6.4,6.4,6.4,6.5,6.5,6.4
Kazakhstan,99,KAZ,5.5,5.3,5.3,6.8,6.8,5.5
Kenya,100,KEN,4.8,4.1,4.1,4.8,4.6,4.8
Kuwait,102,KWT,4.1,4.2,4.2,4.4,4.4,4.1
Laos,104,LAO,5.3,5.5,5.5,5.7,5.7,5.3
Madagascar,113,MDG,6.4,6.6,6.6,6.7,6.3,6.4
Malawi,114,MWI,12.4,9.5,9.5,9.4,9.4,12.4
Malaysia,115,MYS,2.3,1.9,1.9,2.1,2.1,2.3
Mali,117,MLI,4.7,5.4,5.4,4.7,4.7,4.7
Mexico,123,MEX,4.6,5.3,5.3,4.7,4.4,4.6
Morocco,128,MAR,6.4,6.3,6.3,6.7,6.7,6.4
Mozambique,129,MOZ,5.3,3.9,3.9,12.4,5.3,5.3
Myanmar,130,MMR,4.1,6.8,6.8,4.2,4,4.1
Nepal,133,NPL,9.2,9.6,9.6,9.2,9.2,9.2
Netherlands,134,NLD,1.4,1.3,1.3,1.5,1.5,1.4
New Zealand,136,NZL,4.8,4.2,4.2,3.7,3.7,4.8
Nicaragua,137,NIC,3,3.1,3.1,2.9,2.9,3
Niger,138,NER,11.3,7.1,7.1,10.9,10.9,11.3
Nigeria,139,NGA,10.5,9.7,9.7,10.5,10.3,10.5
Norway,141,NOR,1.5,0.8,0.8,1.4,1.4,1.5
Oman,143,OMN,3.2,2.9,2.9,3.2,3.2,3.2
Pakistan,145,PAK,3.5,3.4,3.4,3.6,3.5,3.5
Panama,146,PAN,3,2,2,3,2.8,3
Paraguay,148,PRY,10.9,6.9,6.9,12.9,10.7,10.9
Peru,149,PER,8.8,8.9,8.9,8.7,8.5,8.8
Philippines,150,PHL,2.7,2.8,2.8,2.9,2.7,2.7
Poland,151,POL,3.7,3.7,3.7,3.8,3.8,3.7
Portugal,152,PRT,2.9,2.7,2.7,2.7,2.7,2.9
Qatar,154,QAT,4.1,4.1,4.1,4.1,4.1,4.1
Romania,157,ROU,2,2.9,2.9,2.3,2.3,2
Russia,158,RUS,2,1.6,1.6,1.6,1.6,2
Rwanda,159,RWA,4.3,7.1,7.1,7.5,7.5,4.3
Saudi Arabia,168,SAU,3.3,3.5,3.5,3.6,3.6,3.3
Senegal,169,SEN,4.5,6.1,6.1,4.3,4.4,4.5
Serbia,170,SRB,4.1,4,4,4.3,4.3,4.1
Sierra Leone,173,SLE,34.8,5.4,5.4,34.1,34.1,34.8
Singapore,174,SGP,0.4,0.4,0.4,0.4,0.4,0.4
Slovakia,175,SVK,2.3,2.4,2.4,2.4,2.4,2.3
South Africa,179,ZAF,3.8,3.6,3.6,3.5,3.5,3.8
South Korea,155,KOR,4.6,4.7,4.7,4.8,4.8,4.6
Spain,180,ESP,2.6,3.1,3.1,2.6,2.6,2.6
Sri Lanka,181,LKA,3.9,3.7,3.7,3.6,3.9,3.9
Sudan,182,SDN,10,4.5,4.5,4.6,4.6,10
Sweden,185,SWE,1.8,2,2,1.9,1.9,1.8
Switzerland,186,CHE,1.3,1.4,1.4,1.2,1.2,1.3
Syria,187,SYR,6,4.9,4.9,5.2,5.2,6
Tajikistan,188,TJK,3.5,2.3,2.3,2.9,2.9,3.5
Tanzania,205,TZA,9.2,6.8,6.8,10.1,8.5,9.2
Thailand,189,THA,3.7,6.6,6.6,3.4,3.6,3.7
Togo,192,TGO,11.9,12.8,12.8,12.1,12.1,11.9
Tunisia,196,TUN,5.1,5.4,5.4,5.6,5.6,5.1
Turkey,197,TUR,9.2,9,9,9,9,9.2
Uganda,201,UGA,4.1,7.6,7.6,7.4,7.4,4.1
Ukraine,202,UKR,3.7,2.4,2.4,3,3,3.7
United Arab Emirates,203,ARE,6.1,6.9,6.9,5.9,5.9,6.1
United Kingdom,204,GBR,1.3,1,1,1.3,1.3,1.3
United States,207,USA,1,0.9,0.9,0.8,0.8,1
Uruguay,208,URY,11.1,8.9,8.9,9.5,9.5,11.1
Uzbekistan,209,UZB,2.2,1.6,1.6,1.9,1.9,2.2
Venezuela,211,VEN,3.9,3,3,2.8,2.8,3.9
Vietnam,212,VNM,7.2,6.6,6.6,6.9,7.1,7.2
Yemen,215,YEM,2.7,2.9,2.9,2.8,2.7,2.7
Zambia,217,ZMB,2.5,2.7,2.7,3,2.4,2.5
